DATE,HOUR,STREET1,STREET2,ROAD_CLASS,District,Division,LOCCOORD,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INVAGE,INJURY,VEHTYPE,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID
2016-01-24,21,EGLINTON AVE E,MASON RD,Major Arterial,Scarborough,43,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,65 to 69,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,139
2016-01-25,19,OVERLEA BLVD,WILLIAM MORGAN DR,Major Arterial,North York,53,Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,40 to 44,None,Passenger Van,1,0,1,0,0,0,0,0,0,1,0,0,0,55
2016-01-28,9,DUNDAS ST W,POPLAR AVE,Major Arterial,Etobicoke York,22,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,30 to 34,None,"Bus (Other) (Go Bus, Gray Coach)",1,0,0,0,0,1,0,0,0,1,0,0,0,14
2016-01-30,17,DUFFERIN ST,ARMSTRONG AVE,Major Arterial,Toronto and East York,14,Intersection,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,35 to 39,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,0,0,93
2016-01-31,2,DERRYDOWN RD,ROMFIELD DR,Local,Etobicoke York,31,Intersection,Stop Sign,Clear,"Dark, artificial",Wet,SMV Other,Driver,50 to 54,Minor,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,0,0,0,1,0,27
2016-02-01,3,KENNEDY RD,NORCAP AVE,Major Arterial,Scarborough,42,Intersection,No Control,Clear,"Dark, artificial",Wet,Approaching,Driver,30 to 34,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,0,0,0,0,0,117
2016-02-01,3,KENNEDY RD,NORCAP AVE,Major Arterial,Scarborough,42,Intersection,No Control,Clear,"Dark, artificial",Wet,Approaching,Driver,65 to 69,Minimal,Delivery Van,0,0,1,0,0,0,0,0,0,0,0,0,0,117
2016-02-01,10,BIRMINGHAM ST,TWENTY FIRST ST,Collector,Etobicoke York,22,Intersection,Pedestrian Crossover,Clear,Daylight,Dry,Sideswipe,Driver,85 to 89,Fatal,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,1,1,0,0,0,18
2016-02-01,10,BIRMINGHAM ST,TWENTY FIRST ST,Collector,Etobicoke York,22,Intersection,Pedestrian Crossover,Clear,Daylight,Dry,Sideswipe,Driver,30 to 34,Minimal,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,1,1,0,0,0,18
2016-02-02,16,JANE ST,GRANDRAVINE DR,Major Arterial,Etobicoke York,31,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,40 to 44,None,Pick Up Truck,1,0,1,0,0,0,0,0,0,1,0,0,0,25
2016-02-06,5,DUNDAS ST W,ANNETTE ST,Minor Arterial,Toronto and East York,11,Mid-Block,No Control,Clear,"Dawn, artificial",Dry,SMV Other,Driver,25 to 29,Major,"Automobile, Station Wagon",0,0,1,0,0,0,0,0,0,0,0,0,0,90
2016-02-10,9,WEDGEWOOD DR,TOBRUK CRES,Local,North York,32,Intersection,Stop Sign,Clear,Daylight,Wet,Pedestrian Collisions,Driver,45 to 49,Minimal,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,1,0,0,0,50
2016-02-13,10,FINCH AVE W,TOBERMORY DR,Major Arterial,Etobicoke York,31,Mid-Block,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,75 to 79,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,1,0,0,0,0,0,27
2016-02-18,13,DAWES RD,SECORD AVE,Minor Arterial,Toronto and East York,54,Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,30 to 34,None,Delivery Van,1,0,1,0,0,0,0,0,0,1,0,0,0,61
2016-02-18,22,MACDONELL AVE,LN n QUEEEN E FULLER,Local,Toronto and East York,11,Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,30 to 34,None,Municipal Transit Bus (TTC),1,0,0,0,0,1,0,0,0,0,0,0,0,86
2016-02-20,17,CONFEDERATION DR,STEVENWOOD RD,Collector,Scarborough,43,Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,35 to 39,None,"Automobile, Station Wagon",0,1,1,0,0,0,0,0,0,0,0,0,0,137
2016-02-20,17,CONFEDERATION DR,STEVENWOOD RD,Collector,Scarborough,43,Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist,35 to 39,Major,Bicycle,0,1,1,0,0,0,0,0,0,0,0,0,0,137
2016-02-21,1,THE QUEENSWAY K,KIPLING AVE,Major Arterial,Etobicoke York,22,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,25 to 29,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,0,0,1,0,14
2016-02-23,21,OSSINGTON AVE,COLLEGE ST,Minor Arterial,Toronto and East York,14,Mid-Block,No Control,Clear,"Dark, artificial",Dry,Pedestrian Collisions,Driver,35 to 39,Minor,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,1,1,0,0,0,81
2016-02-25,16,AVIEMORE DR,GRAMPIAN CRES,Local,Etobicoke York,31,Mid-Block,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,75 to 79,None,"Automobile, Station Wagon",1,0,1,0,0,0,0,0,0,1,0,0,0,21
2016-02-28,22,LAWRENCE AVE E,CARNFORTH RD,Major Arterial,North York,33,Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Turning Movement,Driver,20 to 24,None,"Automobile, Station Wagon",0,0,1,0,0,0,0,1,1,1,0,0,0,43
